,tag,embedding,similarity
11,alumalsa,"[-0.01101168 -0.00237581 -0.00365456 ... -0.01116938  0.00328773
 -0.00095307]",0.7753896851255146
16,Defectos,"[-0.02574201  0.00511899  0.0182875  ... -0.00331008 -0.00707837
 -0.01168786]",0.7753443870220863
6,Defecto-etiqueta,"[-0.03126898  0.0102283  -0.00129721 ...  0.00950159 -0.02079619
 -0.01714225]",0.7751404022763182
12,Tortitas-trigo,"[-0.01503979 -0.00529166  0.01398344 ...  0.01448521 -0.01009475
 -0.01261019]",0.7750483536407481
8,Madera,"[-0.01012679 -0.00638605 -0.00060113 ...  0.01255505 -0.0311197
 -0.00781384]",0.7749003981508907
2,Detección-Plastico,"[-0.03282025  0.02447979  0.01038495 ...  0.01229405 -0.04088991
  0.01450102]",0.7748080062987686
1,Palanca-alto-brillo,"[-0.00830652  0.00688408  0.00880303 ... -0.00077832 -0.00809181
 -0.012963  ]",0.774775303554693
14,Inspección-contenido-latas-de-atún,"[-0.01618052  0.01554199  0.01090928 ...  0.01272976  0.00017269
 -0.00947599]",0.7746848373193823
9,radiador,"[-0.0240228  -0.00560968 -0.00282895 ... -0.00814075  0.0006474
 -0.01224556]",0.774574456333917
5,laboratorios-merck,"[-0.03156295 -0.00267191 -0.00243208 ... -0.02721224 -0.02151037
  0.01648408]",0.774557402830525
13,Etiqueta-jeringa,"[-0.04977064  0.00148051  0.00485936 ... -0.01132618 -0.01548271
  0.00566982]",0.774556797787949
15,plástico,"[-0.02193601  0.00472178  0.01945468 ...  0.01414886 -0.0210385
 -0.0183328 ]",0.7745166837393567
0,car-roof,"[-0.002431    0.00162486  0.01993119 ...  0.0018287  -0.02320608
 -0.01462963]",0.7744164755401182
17,lectura,"[-0.01393678  0.00958915  0.0086343  ... -0.00755078  0.00717155
  0.00242099]",0.7743949455261181
5,nissan,"[-0.0060333  -0.00835943 -0.0022213  ... -0.00932449  0.00444261
 -0.0215242 ]",0.7743107075017612
4,Bosauto,"[-0.03648423 -0.02063821 -0.0050371  ... -0.00508343 -0.02325936
  0.00054318]",0.7741057782834782
17,laboratorios-salvat,"[-0.02055184  0.00135228  0.00631768 ... -0.01753739 -0.01036044
  0.01398061]",0.7739504768298087
1,entrepinares,"[-0.02908482 -0.0213492   0.00810992 ...  0.00305682  0.00050557
 -0.02823917]",0.7738553847720585
10,plastico,"[-0.02897697  0.00565372  0.01638643 ...  0.02224063 -0.02903043
 -0.02082386]",0.7737426458312586
12,Auto,"[-0.01566071 -0.01867561  0.00250369 ...  0.00203785 -0.01335767
  0.01538156]",0.7736784286297423
7,diferenciacion-modelos,"[-0.02651498  0.01271304  0.00862962 ...  0.01372708 -0.02290796
  0.01721841]",0.7734835277836493
6,camara,"[-0.01631054 -0.00290884 -0.002528   ...  0.00806991 -0.01632368
  0.00046826]",0.7734549067660293
5,benteler,"[-0.01498094 -0.00722514 -0.00105197 ...  0.00839531  0.01151804
 -0.02555332]",0.7733567741755202
4,fecha-caducidad,"[-0.01179578 -0.01051047 -0.01196162 ...  0.01786988  0.00843049
 -0.01847798]",0.7733312785942765
0,envase,"[-0.02310763 -0.01509858  0.00135677 ... -0.00432435 -0.02132192
 -0.00100696]",0.7733023723401791
